,Country,Year,Log Fertility
606,4186,2009,-4.894005762681075
607,4186,2010,-4.690808828334295
608,4186,2011,-4.14239460449729
609,4186,2012,-4.042709688510982
610,4186,2013,-3.981878936896018
611,4186,2014,-3.906038287355473
612,4186,2015,-3.940503769049542
613,4188,1981,-3.0975162162885774
614,4188,1982,None
615,4188,1983,None
616,4188,1984,None
617,4188,1985,-3.0478024619940025
618,4188,1986,-3.014790033176655
619,4188,1987,-3.001801034274991
620,4188,1988,-3.0512699162128856
621,4188,1989,-3.1176931166374526
622,4188,1990,-3.1351870566551887
623,4188,1991,-3.196724763406346
624,4188,1992,-3.459980514106366
625,4188,1993,-3.5177573063695062
626,4188,1994,-3.566655220196724
627,4188,1995,-3.623824960475921
628,4188,1996,-3.66008149313372
629,4188,1997,-4.161635292590849
630,4188,1998,-4.16878279188387
631,4188,1999,-4.1945648570310645
632,4188,2000,-4.207604669360252
633,4188,2001,-4.155910110918342
634,4188,2002,-4.152803261020082
635,4188,2003,-4.339562577669914
636,4188,2004,-4.6267134061742095
637,4188,2005,-4.497374134001508
638,4188,2006,-4.129174135306692
639,4188,2007,-4.080585757583848
640,4188,2008,-4.183668439017699
641,4188,2009,-5.13576555654056
642,4188,2010,-5.480510431835329
643,4188,2011,-4.28918322377931
644,4188,2012,-4.033162155349915
645,4188,2013,-3.981526685987512
646,4188,2014,-3.956518543708497
647,4188,2015,-4.1557203499413955
648,4190,1955,-3.4654349994332256
649,4190,1956,-3.4748701764742456
650,4190,1957,-3.5571596561877645
651,4190,1958,-3.54165686803578
652,4190,1959,-3.51275383638097
653,4190,1960,-3.3424312844433346
654,4190,1961,-3.2818263144129
655,4190,1962,None
656,4190,1963,None
657,4190,1964,-3.311190495692727
658,4190,1965,-3.6273394359726217
659,4190,1966,-3.6461953950293005
660,4190,1967,-3.5609124399833116
661,4190,1968,-3.481032087195491
662,4190,1969,-3.5615117744781073
663,4190,1970,-3.1818987641422627
664,4190,1971,-3.415145260314186
665,4190,1972,-3.298966398898877
666,4190,1973,-3.2796599433842784
667,4190,1974,-3.4065277351441874
668,4190,1975,-3.6376749292696138
669,4190,1976,-3.6999095921258025
670,4190,1977,-4.677366477192581
671,4190,1978,-3.0329057563598343
672,4190,1979,-3.3135444771251987
673,4190,1980,-3.3457910287761137
674,4190,1981,-3.338554855910747
675,4190,1982,-3.4424809264867657
676,4190,1983,-3.416526309958932
677,4190,1984,-3.4165136416256043
678,4190,1985,-3.3723097444210746
679,4190,1986,-3.193267005310318
680,4190,1987,-3.239802937371968
681,4190,1988,-3.2096910681203914
682,4190,1989,-3.2076804494585383
683,4190,1990,-3.1563118159672667
684,4190,1991,-3.149521355112981
685,4190,1992,-3.150979095326658
686,4190,1993,-3.191008519052015
687,4190,1994,-3.1962268797384237
688,4190,1995,-3.1881707359721387
689,4190,1996,-3.2432316318163
690,4190,1997,-3.481459828440931
691,4190,1998,-3.4736481913469914
692,4190,1999,-3.4599418192263394
693,4190,2000,-3.765214452109189
694,4190,2001,-3.6407146336343565
695,4190,2002,-3.5117651032832473
696,4190,2003,-3.523919082599543
697,4190,2004,-3.4864774393913676
698,4190,2005,-3.4526481867295273
699,4190,2006,-3.467925964526586
700,4190,2007,-3.431475808779506
701,4190,2008,-3.407151704426114
702,4190,2009,-3.411988777008829
703,4190,2010,-3.2932050470734713
704,4190,2011,-3.252168332142825
705,4190,2012,-3.291990880933411
706,4190,2013,-3.2837579464509243
707,4190,2014,-3.278582891749587
708,4190,2015,-3.2736379221439535
709,4195,1991,-3.60717726672522
710,4195,1992,-3.6642793434797936
711,4195,1993,-3.5498218884676596
712,4195,1994,-3.420619094876056
713,4195,1995,-3.4787850687437953
714,4195,1996,-3.5164396510278686
715,4195,1997,-3.5645620967963363
716,4195,1998,-3.5940040805559312
717,4195,1999,-3.5835248873137804
718,4195,2000,-3.6160539575816673
719,4195,2001,-4.09663823261161
720,4195,2002,-3.589550983735951
721,4195,2003,-3.609999139651881
722,4195,2004,-3.619558640226472
723,4195,2005,-3.914581686240727
724,4195,2006,-3.8708658104460567
725,4195,2007,-3.901513038066751
726,4195,2008,-3.888962006869574
727,4195,2009,-3.875030987132331
728,4195,2010,-3.8793528661684875
729,4195,2011,-3.873844724462562
730,4195,2012,-3.9075904350008486
731,4195,2013,None
732,4195,2014,-3.8572597524379977
733,4195,2015,-3.871750860486189
734,4220,1951,-3.6226204209460753
735,4220,1952,-3.617495951221892
736,4220,1953,-3.608452582682098
737,4220,1954,-3.5472324970430065
738,4220,1955,-3.5818742827199515
739,4220,1956,-3.5848648476855454
740,4220,1957,-3.577189658943595
741,4220,1958,-3.597491405243411
742,4220,1959,-3.5931628164816836
743,4220,1960,-3.638311068174964
744,4220,1961,-3.5772678100169215
745,4220,1962,-3.5496565202510713
746,4220,1963,-3.585604843522929
747,4220,1964,-3.5792059185059273
748,4220,1965,-3.567521666670522
749,4220,1966,-3.550268650049426
750,4220,1967,-3.5005684355899107
751,4220,1968,-3.471987400661891
752,4220,1969,-3.5341131682847333
753,4220,1970,-3.541559261533336
754,4220,1971,-3.5032411729735875
755,4220,1972,-3.419720278963097
756,4220,1973,-3.6830670309216322
757,4220,1974,-3.5790644676641103
758,4220,1975,-3.6080634573039947
759,4220,1976,-3.6401815470865144
760,4220,1977,-3.639995073869288
761,4220,1978,-3.6373733010932776
762,4220,1979,-3.654562846371905
763,4220,1980,-3.6358371516565007
764,4220,1981,-3.647754271255798
765,4220,1982,-3.6469685222258854
766,4220,1983,-3.662640164032736
767,4220,1984,-3.6213713844715283
768,4220,1985,-3.3298578377107115
769,4220,1986,-3.266605734333279
770,4220,1987,-3.251101546872315
771,4220,1988,-3.2858451397790165
772,4220,1989,-3.29222702744578
773,4220,1990,-3.282688434224024
774,4220,1991,-3.2623479011907226
775,4220,1992,-3.2264868354619223
776,4220,1993,-3.2847510460414284
777,4220,1994,-3.2800471792683608
778,4220,1995,-3.6801272627427957
779,4220,1996,-3.6568991162294893
780,4220,1997,-3.646978384335338
781,4220,1998,-3.602814802451285
782,4220,1999,-3.837964596833359
783,4220,2000,-3.5243839452239483
784,4220,2001,-3.6856395145921077
785,4220,2002,-3.7036100855393075
786,4220,2003,-3.7295510353075794
787,4220,2004,-3.698629539942827
788,4220,2005,-3.6524799222411626
789,4220,2006,-3.5610732464086827
790,4220,2007,-3.497984500871039
791,4220,2008,-3.505501874570388
792,4220,2009,-3.5166197199826903
793,4220,2010,-3.508158535815461
794,4220,2011,-3.501738469169808
795,4220,2012,-3.55144173951977
796,4220,2013,-3.6061969446729374
797,4220,2014,-3.647685397153973
798,4220,2015,-3.706548285118044
799,4230,1959,-3.6373778366938936
800,4230,1960,-3.5194239163120327
801,4230,1961,-3.5576206006707767
802,4230,1962,-3.5797183483038615
803,4230,1963,-3.4606561120326886
804,4230,1964,-3.6344966404561663
805,4230,1965,-3.8179385555905045
806,4230,1966,-3.722595652848371
807,4230,1967,-3.597366356886632
