,Country,Year,Log Mortality6,Log Mortality7,Log Mortality8,Log Mortality9,Log Mortality10,Log Mortality11,Log Mortality12,Log Mortality13,Log Mortality14,Log Mortality15,Log Mortality16,Log Mortality17,Log Mortality18,Log Mortality19,Log Mortality20,Log Mortality21,Log Mortality22,Log Mortality23,Log Mortality24,Log Mortality25,Log Mortality26
53,3080,2015,-7.780616452928956,-8.97297111339799,-9.311926272729995,-7.446779557106806,-6.987813371152716,-7.478551192889218,-7.130306062051367,-6.40666964880082,-5.903616456534787,-5.8554997694860775,-5.208100858609459,-4.889062703719232,-4.296585202693541,-3.885233953050417,-3.3259587501319006,-2.794079200549816,-2.0613348566435703,-1.2314804239768513,-0.7652718469734915,0.06051976154265354,
54,3080,2016,-8.517093186415904,-8.470395041867597,-8.899366926960736,-7.644620257174363,-7.570488733133464,-7.7718259713836675,-7.4426391678411985,-6.713946948453025,-6.214080686637772,-5.750510801926052,-5.350277105478748,-4.8462200902083135,-4.479815453800814,-4.018115752938785,-3.4326370968851596,-2.900839833782198,-2.1420925066415033,-1.472969660136268,-0.6890516116952083,0.3147953078603417,
55,3160,1950,-4.678374412027949,-5.483908075706681,-6.054356130384559,-5.307569037497634,-4.6792054744249745,-4.543096260320229,-4.589719824283072,-4.495220466452451,-4.33615331077093,-4.078051497846742,-3.736719852556325,-3.345638344915873,-2.932583667073573,-2.4576605051433122,-2.0308416340005078,-1.63177985556747,-1.1711595894164868,-0.6908043773296372,-4.2991375226365145,-3.988403079990073,-1.9480400753131382
56,3160,1951,-4.75206672689983,-5.613685234718462,-6.20562432098768,-5.559323107222388,-4.9736346633230175,-4.806621570848825,-4.777441101059733,-4.671182554460535,-4.469293774915469,-4.149028573130369,-3.824262978646861,-3.4111944622899752,-2.975537065199399,-2.488955885921187,-2.0520289595707015,-1.6708713397978563,-1.2528009002492506,-0.7209706892945439,-4.2991375226365145,-3.988403079990073,inf
57,3160,1952,-4.856926958233559,-5.7285860158063056,-6.344737912963672,-5.753766546042636,-5.186277713534201,-5.027803097718621,-4.946114319434914,-4.827871009105582,-4.5817442694652,-4.256291192169686,-3.8729506806711647,-3.446936782459351,-3.039906391472637,-2.5322914011145112,-2.1029792323255116,-1.6900745063076077,-1.3149521148243215,-0.7601182876667257,-4.2991375226365145,-3.988403079990073,inf
58,3160,1953,-4.949024810034933,-5.770888131816455,-6.468443893907603,-5.8500634473892115,-5.257554705094944,-5.130449158950197,-5.058834071230518,-4.9106817397774405,-4.660785079197965,-4.294507202060775,-3.888905196312841,-3.4577782381798325,-3.019205291169695,-2.5309107096344516,-2.0397157896048674,-1.5987017076241326,-1.2211908956266284,-0.6360274148098196,-4.2991375226365145,-3.988403079990073,inf
59,3160,1954,-4.964343289634898,-5.819550520900584,-6.55618122320544,-5.889095650197855,-5.276536202441878,-5.152517683164639,-5.094932965214289,-4.945664145303268,-4.708719763085085,-4.350035612780855,-3.92426189299907,-3.5106549380913927,-3.085334215704122,-2.6198989630521976,-2.1419393348617892,-1.7261307406957933,-1.3455626270832468,-0.773326509587612,-4.2991375226365145,-3.988403079990073,inf
60,3160,1955,-5.183978783816608,-5.955095609246758,-6.576776311644153,-5.963659573139846,-5.3731652573444695,-5.270858328575008,-5.196044875061798,-5.018692928363878,-4.741391672883981,-4.349691920153833,-3.9323084218725586,-3.532151711378157,-3.0734318714223425,-2.613308624698475,-2.138919768370365,-1.719752758628439,-1.3305256543143134,-0.8317152050662873,-4.048965298934386,-3.7382308562879443,-2.7333680090865
61,3160,1956,-5.258480345062043,-6.046949497138,-6.665237802644589,-6.0336998085487865,-5.426427840843512,-5.339236052606246,-5.250866787307661,-5.046564946324333,-4.764310912841654,-4.366617793961625,-3.9077356413370232,-3.496684136259471,-3.0531709463188568,-2.5769171004087674,-2.0755214375043036,-1.6398282406984945,-1.231518225210531,-0.7436253883920513,-4.048965298934386,-3.7382308562879443,inf
62,3160,1957,-5.358132067131759,-6.076600850303182,-6.651447480432213,-6.022870354201978,-5.452053837054309,-5.360810842170247,-5.2526000480183725,-5.059055592649903,-4.763514728800817,-4.355689704470255,-3.91521024884038,-3.4670829747565928,-3.0227814377451896,-2.541610449023265,-2.0283680017417067,-1.5756498697757468,-1.1563383863938304,-0.6974478057341605,-4.048965298934386,-3.7382308562879443,inf
